CladeA,CladeB,CladeC,CladeD,CladeE,CladeF,CladeG,CladeH,CladeI,,,,,,,,,,,,,,value,group
0.00596353,0.00493087,0.00511127,0.00513432,0.00508644,0.06509348,0.00474585,0.00486172,0.03026948,,,,,,,,,,,,,,0.00596353,A
0.00596353,0.00495594,0.01040017,0.00515708,0.01029903,0.05896962,0.09452956,0.00484145,0.05180083,,,,,,,,,,,,,,0.00596353,A
0.0120931,0.00988681,0.00511039,0.0102914,0.00508644,0.01018784,0.08866043,0.00973447,0.04104515,,,,,,,,,,,,,,0.0120931,A
0.00596353,0.00495594,0.00511056,0.00515773,0.00509686,0.06954512,0.10072674,0.00483782,0.04620076,,,,,,,,,,,,,,0.00596353,A
0.0120931,0.00988681,0.01027344,0.01029205,0.00509494,0.03144433,0.09470241,0.00973081,0.03560557,,,,,,,,,,,,,,0.0120931,A
0.0120931,0.01007556,0.01561407,0.01048365,0.01021289,0.04248077,0.0047668,0.00970918,0.00493105,,,,,,,,,,,,,,0.0120931,A
0.00599163,0.00495594,0.0102256,0.00513458,0.01021602,0.06387279,0.10694651,0.05575713,,,,,,,,,,,,,,,0.00599163,A
0.01195516,0.00988681,0.01538849,0.01038877,0.0050979,0.02598686,0.10076444,0.06120824,,,,,,,,,,,,,,,0.01195516,A
0.01195516,0.01007556,0.02072911,0.01029166,0.01021602,0.03688652,0.0096358,0.0608984,,,,,,,,,,,,,,,0.01195516,A
0.01195516,0.01007556,0.00508149,0.01029231,0.01023488,0.00508328,0.01461101,0.06123813,,,,,,,,,,,,,,,0.01195516,A
0.00596447,0.00493087,0.01027793,0.00513432,0.02578264,0.05293927,0.2914466,0.05261412,,,,,,,,,,,,,,,0.00596447,A
0.0120968,0.00996984,0.01562317,0.01038778,0.03119712,0.01545384,0.28324781,0.05812725,,,,,,,,,,,,,,,0.0120968,A
0.0120968,0.00988681,0.02115665,0.0102914,0.0367518,0.02609572,0.28469938,0.05252249,,,,,,,,,,,,,,,0.0120968,A
0.0120968,0.00988681,0.00511054,0.01029205,0.03114897,0.01561703,0.29302435,0.0581459,,,,,,,,,,,,,,,0.0120968,A
0.0119561,0.00988681,0.01019203,0.01038877,0.03660065,0.01028833,0.29385567,0.0798054,,,,,,,,,,,,,,,0.0119561,A
0.00599163,0.00493105,0.01022743,0.00513432,0.01024526,0.06387279,0.28530999,0.05832392,,,,,,,,,,,,,,,0.00599163,A
0.01195516,0.00997052,0.01539033,0.01038778,0.00506047,0.02598686,0.27717407,0.06383712,,,,,,,,,,,,,,,0.01195516,A
0.01195516,0.00988699,0.02073096,0.0102914,0.01024526,0.03688652,0.27887272,0.0581322,,,,,,,,,,,,,,,0.01195516,A
0.01195516,0.00988699,0.00508188,0.01029205,0.01016014,0.01561379,0.2871437,0.06389011,,,,,,,,,,,,,,,0.01195516,A
0.01221207,0.00988699,0.01027956,0.01038877,0.0101644,0.01028684,0.29516553,0.08581633,,,,,,,,,,,,,,,0.01221207,A
