"","I1_FN561559","I2_FN561560","I3_FN561561","I4_FN561562"
"I1_FN561559",0,6,10,9
"I2_FN561560",6,0,8,7
"I3_FN561561",10,8,0,1
"I4_FN561562",9,7,1,0
